KO	ID	KCLASS	KPATH	EC	NAME
K08960	CSNK1E	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	2.7.11.1	casein kinase 1, epsilon
K05628	RERE	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	arginine-glutamic acid dipeptide repeats protein
K16675	ZDHHC14	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	probable palmitoyltransferase ZDHHC14 [EC:2.3.1.-]
K16676	LPP	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	lipoma-prefererred partner
K16677	DACHS	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	dachs
K06094	LLGL	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	lethal(2) giant larvae protein
K06069	APKC	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	2.7.11.13	atypical protein kinase C
K09851	RASSF2_4	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	Ras association domain-containing protein 2/4
K04382	PPP2C	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	3.1.3.16	protein phosphatase 2 (formerly 2A), catalytic subunit
K03456	PPP2R1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein phosphatase 2 (formerly 2A), regulatory subunit A
K04354	PPP2R2	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein phosphatase 2 (formerly 2A), regulatory subunit B
K10149	TP63	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	tumor protein p63
K16678	EGR	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	eiger
K16679	WGN	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	wengen
K04440	JNK	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	2.7.11.24	c-Jun N-terminal kinase
K16680	ED	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	echinoid
K05692	ACTB_G1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	actin beta/gamma 1
K16681	CRB	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein crumbs
K04237	PARD3	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	partitioning defective protein 3
K06093	PARD6	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	partitioning defective protein 6
K06091	MPP5	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	MAGUK p55 subfamily member 5
K06095	MPDZ	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	multiple PDZ domain protein
K16682	AJUBA	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	LIM domain-containing protein
K16175	SCRIB	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein scribble
K12076	DLG1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	disks large protein 1
K16683	EX	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein expanded
K16684	NF2	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	merlin
K16685	WWC1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein KIBRA
K04412	STK3	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	serine/threonine kinase 3
K16686	SAV1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	scaffold protein salvador
K08791	LATS1_2	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	2.7.11.1	serine/threonine-protein kinase LATS1/2
K06685	MOB1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	MOB kinase activator 1
K16687	YAP1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein yorkie
K16197	YWHAB_Q_Z	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	14-3-3 protein beta/theta/zeta
K06630	YWHAE	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	14-3-3 protein epsilon
K04676	SMAD1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	mothers against decapentaplegic homolog 1
K09448	TEAD	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	transcriptional enhancer factor
K16672	HTH	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	homeobox protein homothorax
K09236	TSHZ	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	teashirt
K16736	BAN	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	bantam
K16688	DIA	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	diaphanous
K06626	CCNE	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	cyclin E
K04377	MYC	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	Myc proto-oncogene protein
K02306	DALLY	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	dally
K03209	WNT1	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	wingless-type MMTV integration site family, member 1
K16689	UPD	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	unpaired
K16690	VN	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	protein vein
K16691	KRN	Environmental-Information-Processing	Signal-transduction	Hippo-signaling-pathway--fly	NA	keren
K05448	VEGFA	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	vascular endothelial growth factor A
K05098	KDR	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.10.1	kinase insert domain protein receptor
K08273	SH2D2A	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	SH2 domain protein 2A
K01116	PLCG1	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	3.1.4.11	phosphatidylinositol phospholipase C, gamma-1
K05859	PLCG2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	3.1.4.11	phosphatidylinositol phospholipase C, gamma-2
K02677	CPKC	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.13	classical protein kinase C
K04718	E2.7.1.91	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.1.91	sphingosine kinase
K02833	HRAS	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	GTPase HRas
K07827	KRAS	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	GTPase KRas
K07828	NRAS	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	GTPase NRas
K04366	RAF1	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.1	RAF proto-oncogene serine/threonine-protein kinase
K04368	MAP2K1	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.12.2	mitogen-activated protein kinase kinase 1
K04369	MAP2K2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.12.2	mitogen-activated protein kinase kinase 2
K04371	ERK1_2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.24	extracellular signal-regulated kinase 1/2
K16342	PLA2G4	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	3.1.1.4	cytosolic phospholipase A2
K04348	PPP3C	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	3.1.3.16	protein phosphatase 3, catalytic subunit
K06268	PPP3R	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	protein phosphatase 3, regulatory subunit
K04446	NFATC	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	nuclear factor of activated T-cells, cytoplasmic
K11987	PTGS2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	1.14.99.1	prostaglandin-endoperoxide synthase 2
K05725	PTK2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.10.2	focal adhesion kinase 1
K05760	PXN	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	paxillin
K04393	CDC42	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	cell division control protein 42
K04441	P38	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.24	p38 MAP kinase
K04443	MAPKAPK2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.1	mitogen-activated protein kinase-activated protein kinase 2
K04444	MAPKAPK3	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.1	mitogen-activated protein kinase-activated protein kinase 3
K04455	HSPB1	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	heat shock protein beta-1
K05704	SRC	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.10.2	tyrosine-protein kinase Src
K00922	PIK3C	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.1.153	phosphatidylinositol-4,5-bisphosphate 3-kinase
K02649	PIK3R	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	phosphoinositide-3-kinase, regulatory subunit
K04392	RAC1	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	Ras-related C3 botulinum toxin substrate 1
K07860	RAC2	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	Ras-related C3 botulinum toxin substrate 2
K07861	RAC3	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	Ras-related C3 botulinum toxin substrate 3
K04456	AKT	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	2.7.11.1	RAC serine/threonine-protein kinase
K04399	CASP9	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	3.4.22.62	caspase 9
K02158	BAD	Environmental-Information-Processing	Signal-transduction	VEGF-signaling-pathway	NA	BCL2-antagonist of cell death
K00431	TPO	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	1.11.1.8	thyroid peroxidase
K05437	EPO	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	erythropoietin
K05438	GH	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	growth hormone
K05439	PRL	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	prolactin
K04687	IFNG	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon gamma
K05414	IFNA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon alpha
K05415	IFNB	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon beta
K05440	IFNW1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon, omega 1
K05441	IFNK	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon, kappa
K05442	IFNT1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon, tau-1
K05443	IL10	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 10
K05444	IL19_20_24	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 19/20/24
K05445	IL22	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 22
K05446	IL26	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 26
K05447	IL28_29	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 28/29 (interferon, lambda)
K04736	IL3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 3
K05427	CSF2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	granulocyte-macrophage colony-stimulating factor
K05428	IL5	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 5
K05429	IL2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 2
K05430	IL4	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 4
K05431	IL7	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 7
K05432	IL9	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 9
K05433	IL15	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 15
K05434	IL21	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 21
K05435	IL13	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 13
K05436	TSLP	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	thymic stromal lymphopoietin
K05405	IL6	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 6
K05406	IL12A	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 12A
K05417	IL11	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 11
K05418	OSM	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	oncostatin M
K05419	LIF	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	leukemia inhibitory factor
K05420	CNTF	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	ciliary neurotrophic factor
K05421	BSF3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	B-cell stimulating factor 3
K05422	CTF1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	cardiotrophin 1
K05423	CSF3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	granulocyte colony-stimulating factor
K05424	LEP	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	leptin
K05425	IL12B	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 12B
K05426	IL23A	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 23, alpha subunit p19
K04737	IL3RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 3 receptor alpha
K04738	CSF2RB	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	cytokine receptor common subunit beta
K05055	IL6R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 6 receptor
K05056	IL11RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 11 receptor alpha
K05057	OSMR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	oncostatin M receptor
K05058	LIFR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	leukemia inhibitory factor receptor
K05059	CNTFR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	ciliary neurotrophic factor receptor
K05060	IL6ST	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 6 signal transducer
K05061	CSF3R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	granulocyte colony-stimulating factor receptor
K05062	LEPR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	leptin receptor
K05063	IL12RB1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 12 receptor beta-1
K05064	IL12RB2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 12 receptor beta-2
K05065	IL23R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 23 receptor
K05066	CSF2RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	granulocyte-macrophage colony-stimulating factor receptor alpha
K05067	IL5RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 5 receptor alpha
K05068	IL2RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 2 receptor alpha
K05069	IL2RB	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 2 receptor beta
K05070	IL2RG	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 2 receptor gamma
K05071	IL4R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 4 receptor
K05072	IL7R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 7 receptor
K05073	IL9R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 9 receptor
K05074	IL15RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 15 receptor alpha
K05075	IL21R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 21 receptor
K05076	IL13RA1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 13 receptor alpha-1
K05077	IL13RA2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 13 receptor alpha-2
K05078	TSLPR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	thymic stromal-derived lymphopoietin receptor
K05079	EPOR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	erythropoietin receptor
K05080	GHR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	growth hormone receptor
K05081	PRLR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	prolactin receptor
K05082	TPOR	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	thrombopoietin receptor
K05130	IFNAR1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon receptor 1
K05131	IFNAR2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon receptor 2
K05132	IFNGR1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon gamma receptor 1
K05133	IFNGR2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon gamma receptor 2
K05134	IL10RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 10 receptor alpha
K05135	IL10RB	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 10 receptor beta
K05136	IL20RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 20 receptor alpha
K05137	IL20RB	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 20 receptor beta
K05138	IL22RA1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 22 receptor alpha 1
K05139	IL22RA2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 22 receptor alpha 2
K05140	IL28RA	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interleukin 28 receptor alpha
K11217	JAK1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.10.2	Janus kinase 1
K04447	JAK2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.10.2	Janus kinase 2
K11218	JAK3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.10.2	Janus kinase 3
K11219	TYK2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.10.2	non-receptor tyrosine-protein kinase TYK2
K11220	STAT1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 1
K11221	STAT2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 2
K04692	STAT3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 3
K11222	STAT4	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 4
K11223	STAT5A	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 5A
K11224	STAT5B	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 5B
K11225	STAT6	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducer and activator of transcription 6
K04693	IRF9	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	interferon regulatory factor 9
K04498	EP300	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.3.1.48	E1A/CREB-binding protein
K04694	SOCS1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling 1
K04695	SOCS2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling 2
K04696	SOCS3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling 3
K04697	SOCS4	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling 4
K04698	SOCS5	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling 5
K04699	SOCS7	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling 7
K04700	SOCSN	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	suppressor of cytokine signaling, invertebrate
K04701	CISH	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	cytokine inducible SH2-containing protein
K04702	PIM1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.11.1	proto-oncogene serine/threonine-protein kinase Pim-1
K04377	MYC	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	Myc proto-oncogene protein
K04503	CCND1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	cyclin D1
K10151	CCND2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	cyclin D2
K10152	CCND3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	cyclin D3
K04570	BCL2L1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	BCL2-like 1 (apoptosis regulator Bcl-X)
K04703	SPRED	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	sprouty-related, EVH1 domain containing
K04704	SPRY	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	sprouty
K04705	STAM	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	signal transducing adaptor molecule
K04706	PIAS1	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	E3 SUMO-protein ligase PIAS1 [EC:6.3.2.-]
K16063	PIAS2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	E3 SUMO-protein ligase PIAS2 [EC:6.3.2.-]
K16064	PIAS3	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	E3 SUMO-protein ligase PIAS3 [EC:6.3.2.-]
K16065	PIAS4	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	E3 SUMO-protein ligase PIAS4 [EC:6.3.2.-]
K04707	CBL	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	6.3.2.19	E3 ubiquitin-protein ligase CBL
K07293	PTPN11	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	3.1.3.48	tyrosine-protein phosphatase non-receptor type 11
K04364	GRB2	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	growth factor receptor-binding protein 2
K03099	SOS	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	son of sevenless
K00922	PIK3C	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.1.153	phosphatidylinositol-4,5-bisphosphate 3-kinase
K02649	PIK3R	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	NA	phosphoinositide-3-kinase, regulatory subunit
K04456	AKT	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	2.7.11.1	RAC serine/threonine-protein kinase
K05697	PTPN6	Environmental-Information-Processing	Signal-transduction	Jak-STAT-signaling-pathway	3.1.3.48	tyrosine-protein phosphatase non-receptor type 6
K10784	TRAV	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	T cell receptor alpha chain V region
K10785	TRBV	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	T-cell receptor beta chain V region
K05856	LCK	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	2.7.10.2	lymphocyte cell-specific protein tyrosine kinase
K07360	ZAP70	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	2.7.10.2	tyrosine-protein kinase ZAP-70
K07362	LAT	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	linker for activation of T cells
K01116	PLCG1	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	3.1.4.11	phosphatidylinositol phospholipase C, gamma-1
K06856	IGH	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	immunoglobulin heavy chain
K05855	SYK	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	2.7.10.2	spleen tyrosine kinase
K05854	LYN	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	2.7.10.2	tyrosine-protein kinase Lyn
K07371	BLNK	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	B-cell linker protein
K07370	BTK	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	2.7.10.2	Bruton agammaglobulinemia tyrosine kinase
K05859	PLCG2	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	3.1.4.11	phosphatidylinositol phospholipase C, gamma-2
K07367	CARD11	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	caspase recruitment domain-containing protein 11
K07368	BCL10	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	B-cell CLL/lymphoma 10
K07369	MALT1	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
K04519	IL1B	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	interleukin 1 beta
K04386	IL1R1	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	interleukin 1 receptor type I
K04729	MYD88	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	NA	myeloid differentiation primary response protein MyD88
K04730	IRAK1	Environmental-Information-Processing	Signal-transduction	NF-kappa-B-signaling-pathway	2.7.11.1	interleukin-1 receptor-associated kinase 1
